
f(x) = x * sin(1/x) as x -> 0

|            N |               dx = 0.1 |              dx = 0.01 |             dx = 0.001 |            dx = 0.0001 |           dx = 0.00001 |

|            1 |  -0.054402111088936979 |  -0.005063656411097588 |  +0.000826879540532002 |  -0.000030561438888825 |  +0.000000357487979866 |
|           10 |  +0.066329739023903725 |  +0.034931072924493690 |  +0.004451044383696981 |  +0.000350498124881603 |  +0.000067259544961353 |
|          100 |  +0.053933983953376369 |  +0.249898621570865759 |  -0.001364416813999213 |  +0.000423042465023251 |  +0.000201948525730278 |
|         1000 |  +0.050912690782818723 |  +0.316835439160601640 |  +0.012551240755142877 |  -0.003783963084622336 |  -0.000156544043102644 |
|        10000 |  +0.050588574646525476 |  +0.324493036485566488 |  +0.016984795812491640 |  +0.014719113600832674 |  -0.006839282542061499 |
|       100000 |  +0.050555938533499718 |  +0.325269237523085841 |  +0.017462385305755689 |  +0.021298331622004462 |  -0.006912190462442460 |
|      1000000 |  +0.050552672672524751 |  +0.325346962868554856 |  +0.017510445624578541 |  +0.022070040975715077 |  -0.005344225250392229 |
|     10000000 |  +0.050552346063913338 |  +0.325354736456346660 |  +0.017515254617312830 |  +0.022148484029541452 |  -0.005145540012205362 |
|    100000000 |  +0.050552313402823693 |  +0.325355513825654141 |  +0.017515735546131252 |  +0.022156341202523171 |  -0.005125200218660409 |
|   1000000000 |  +0.050552310136686866 |  +0.325355591562735580 |  +0.017515783639311191 |  +0.022157127048651398 |  -0.005123161469610856 |


