f(x) = sqrt(|x|) as x -> 0

|            N |               dx = 0.1 |              dx = 0.01 |             dx = 0.001 |            dx = 0.0001 |           dx = 0.00001 |

|            1 |  +0.316227766016837941 |  +0.100000000000000006 |  +0.031622776601683791 |  +0.010000000000000000 |  +0.003162277660168379 |
|           10 |  +0.246113607073055407 |  +0.077827956151058184 |  +0.024611360707305550 |  +0.007782795615105817 |  +0.002461136070730555 |
|          100 |  +0.240956500103943122 |  +0.076197135735105781 |  +0.024095650010394314 |  +0.007619713573510574 |  +0.002409565001039428 |
|         1000 |  +0.240454962582948822 |  +0.076038535645267760 |  +0.024045496258294916 |  +0.007603853564526785 |  +0.002404549625829473 |
|        10000 |  +0.240404947202787100 |  +0.076022719393331453 |  +0.024040494720278700 |  +0.007602271939333154 |  +0.002404049472027872 |
|       100000 |  +0.240399947045186441 |  +0.076021138204665883 |  +0.024039994704519421 |  +0.007602113820466679 |  +0.002403999470451919 |
|      1000000 |  +0.240399447043195269 |  +0.076020980090174065 |  +0.024039944704326379 |  +0.007602098009017480 |  +0.002403994470432680 |
|     10000000 |  +0.240399397043091434 |  +0.076020964278752462 |  +0.024039939704316893 |  +0.007602096427875549 |  +0.002403993970431912 |
|    100000000 |  +0.240399392043244092 |  +0.076020962697619252 |  +0.024039939204333054 |  +0.007602096269764456 |  +0.002403993920428850 |
|   1000000000 |  +0.240399391542518603 |  +0.076020962539730105 |  +0.024039939154360569 |  +0.007602096253964870 |  +0.002403993915435276 |


